id,Area(total),Troom,Nbedrooms,Nbwashrooms,Twashrooms,roof,Roof(Area),Lawn(Area),Nfloors,API,ANB,Grade,EXPECTED
1607,358,5,7,4,6,yes,73,78,5,98,6,C,4067$
1608,341,8,2,2,3,NA,,95,4,69,3,C,3840$
1609,305,6,6,5,7,no,0,87,7,73,4,C,4241$
1610,310,7,3,3,5,NO,0,100,3,94,4,D,3216$
1611,301,7,2,3,4,YES,92,82,3,88,2,D,3592$
1612,290,8,4,1,3,NO,0,94,3,88,4,D,3811$
1613,346,7,2,1,3,NA,,92,1,90,3,C,4049$
1614,323,5,3,3,5,YES,114,83,3,93,6,D,3677$
1615,334,8,4,3,5,no,0,101,2,82,6,C,3677$
1616,322,6,7,5,7,YES,93,78,4,93,2,C,4065$
1617,307,6,3,3,4,YES,117,77,1,91,2,D,3708$
1618,318,6,4,2,3,no,0,82,2,70,6,D,3250$
1619,343,8,7,7,8,NA,,97,6,69,1,A,4670$
1620,295,9,3,2,3,yes,94,78,3,95,2,C,3727$
1621,349,7,6,3,5,no,0,85,6,96,1,C,4469$
1622,347,7,8,6,8,NO,0,108,5,80,5,B,4520$
1623,304,6,3,1,3,no,0,87,2,63,2,D,3216$
1624,296,9,4,4,6,YES,117,108,5,64,6,C,4560$
1625,317,9,5,4,5,NA,,80,2,70,3,C,4495$
1626,300,9,4,2,4,YES,96,85,3,92,5,C,4047$
1627,353,7,4,3,4,NO,0,88,1,94,1,D,3604$
1628,352,7,4,1,3,no,0,81,2,74,2,D,3256$
1629,319,9,5,4,5,NO,0,98,4,66,6,C,4422$
1630,292,5,7,7,8,YES,94,102,8,89,3,B,4215$
1631,358,6,3,2,4,NA,,105,4,75,4,D,3391$
1632,344,7,8,5,7,no,0,79,8,97,2,A,4886$
1633,306,8,3,4,5,NO,0,85,4,90,4,D,3332$
1634,300,5,7,7,8,YES,81,102,8,71,5,B,4828$
1635,349,7,8,5,7,yes,71,83,8,99,5,A,4876$
1636,314,5,7,7,8,NO,0,92,6,71,4,C,4055$
1637,308,6,6,4,6,YES,92,103,6,97,5,C,3813$
1638,358,6,5,3,5,yes,95,110,4,74,2,C,4249$
1639,351,9,2,1,3,NO,0,81,2,81,6,C,3700$
1640,324,6,5,4,5,NA,,90,4,76,5,D,3808$
1641,335,6,5,3,5,yes,74,71,5,70,2,D,3586$
1642,296,6,5,4,6,NA,,96,3,94,6,D,3416$
1643,319,6,4,2,4,YES,105,99,3,79,6,D,3670$
1644,326,8,7,5,7,NA,,78,6,86,4,B,4650$
1645,293,8,7,4,6,no,0,98,5,89,3,C,4447$
1646,324,8,4,2,4,yes,111,99,2,70,2,C,3810$
1647,317,7,8,6,8,YES,106,77,8,66,4,A,4566$
1648,290,9,8,5,7,NA,,90,6,77,4,B,4949$
1649,340,7,6,5,7,NO,0,78,5,69,6,C,4390$
1650,328,6,4,4,5,no,0,70,5,60,3,D,3864$
1651,359,8,4,4,5,yes,71,71,4,64,3,C,3715$
1652,300,8,8,6,7,NA,,99,6,89,1,B,4411$
1653,290,7,7,5,7,YES,100,103,5,85,3,C,4159$
1654,342,6,6,5,6,no,0,71,6,88,3,C,4331$
1655,302,6,4,3,4,NA,,98,1,62,1,D,3727$
1656,295,8,3,3,4,NO,0,102,5,66,6,D,3645$
1657,330,7,7,6,7,YES,95,105,5,65,3,B,4041$
1658,336,6,7,4,6,yes,75,77,4,83,1,C,4168$
1659,297,9,7,6,8,yes,71,110,5,84,5,B,4302$
1660,302,5,3,2,3,yes,77,78,2,93,3,D,3415$
1661,337,7,6,7,8,YES,88,110,8,63,2,A,5011$
1662,310,5,7,5,6,NO,0,71,5,93,2,C,3737$
1663,347,9,6,6,7,NA,,84,4,82,2,B,4415$
1664,319,6,7,5,7,no,0,79,4,60,4,C,3878$
1665,312,8,4,2,4,YES,86,73,4,82,6,C,3813$
1666,295,9,4,5,6,yes,108,98,5,68,5,C,4004$
1667,326,6,7,5,7,no,0,99,5,62,4,C,4238$
1668,303,9,5,5,7,NA,,105,4,83,5,B,4452$
1669,310,5,3,1,3,NO,0,108,3,89,5,D,3589$
1670,346,8,4,3,5,NA,,102,6,72,1,C,4326$
1671,333,9,2,2,4,NA,,99,4,62,4,C,4418$
1672,326,8,4,3,5,NA,,82,5,76,4,C,3628$
1673,325,9,8,6,7,NA,,105,6,92,1,A,5408$
1674,309,7,6,4,5,NO,0,85,5,64,3,D,3642$
1675,324,8,3,2,4,yes,106,95,2,65,6,C,3700$
1676,341,7,6,4,5,NA,,102,4,87,3,C,3677$
1677,348,5,5,6,7,YES,100,82,7,60,6,C,4091$
1678,299,7,6,5,7,no,0,98,5,93,4,C,4050$
1679,359,6,7,7,8,yes,73,93,7,72,1,B,4500$
1680,292,8,4,2,4,NO,0,92,5,65,3,D,3379$
1681,325,9,7,6,8,yes,89,76,8,73,2,A,5320$
1682,317,5,4,3,4,NO,0,90,4,97,6,D,3174$
1683,345,9,4,3,5,NA,,74,4,81,1,C,4586$
1684,329,5,3,2,4,no,0,87,5,75,4,D,3380$
1685,290,9,4,2,4,YES,108,96,5,96,2,C,3766$
1686,323,8,5,3,4,YES,93,86,2,85,6,C,3819$
1687,355,8,5,5,7,NA,,100,4,90,1,B,4330$
1688,306,8,5,4,5,NO,0,89,2,78,3,D,3508$
1689,308,9,4,3,5,yes,117,103,5,75,2,C,4227$
1690,290,7,4,4,5,NO,0,79,2,76,3,D,3178$
1691,330,7,5,6,7,YES,95,71,5,61,4,C,4003$
1692,312,8,3,4,5,NA,,88,3,75,4,C,3759$
1693,306,7,5,5,6,YES,94,109,4,71,3,C,3595$
1694,315,5,5,5,7,yes,112,98,5,66,6,C,4244$
1695,351,8,5,3,5,NA,,70,3,77,4,C,4133$
1696,356,7,8,6,8,NO,0,94,8,92,1,A,5036$
1697,336,5,5,6,7,yes,120,98,5,71,4,C,4257$
1698,334,8,8,6,7,yes,82,94,6,77,3,A,4501$
1699,321,8,5,4,5,NA,,73,6,59,2,C,4240$
1700,306,6,6,6,7,yes,112,110,5,66,4,C,4012$
1701,303,9,3,2,4,NA,,95,4,69,2,C,3772$
1702,292,8,6,5,6,no,0,77,4,84,1,C,4046$
1703,331,6,7,5,6,yes,89,106,7,77,2,B,4219$
1704,301,5,7,4,6,YES,116,75,6,70,2,C,3774$
1705,311,8,6,5,7,YES,88,107,7,65,3,B,4084$
1706,330,5,3,3,4,yes,92,84,2,75,3,D,3223$
1707,324,9,5,5,6,yes,85,103,4,73,3,B,4041$
1708,334,6,3,4,5,NO,0,86,2,61,1,D,3482$
1709,334,9,6,7,8,no,0,83,8,93,5,A,4989$
1710,301,9,7,4,6,no,0,75,5,66,1,C,3971$
1711,335,8,5,3,4,YES,99,103,2,92,6,C,3938$
1712,347,9,2,2,3,NO,0,98,4,66,5,C,3846$
1713,332,7,5,3,5,no,0,90,5,65,1,D,3831$
1714,319,8,4,3,5,yes,105,91,6,81,6,C,4054$
1715,312,7,2,2,3,YES,102,103,3,83,3,D,3433$
1716,303,9,5,5,6,yes,104,110,5,86,4,B,4317$
1717,340,9,4,4,5,NA,,86,6,75,3,B,4522$
1718,321,8,3,2,3,YES,89,71,3,68,4,D,3515$
1719,309,5,5,4,6,no,0,107,6,72,4,D,3716$
1720,303,6,7,6,7,no,0,86,6,70,3,C,4287$
1721,319,8,5,3,5,no,0,87,4,92,2,C,4035$
1722,306,6,4,4,5,NO,0,74,5,72,2,D,3029$
1723,337,8,5,3,5,YES,98,79,5,84,3,C,3901$
1724,311,9,7,6,7,yes,75,107,5,62,3,B,4745$
1725,351,6,5,5,6,NO,0,79,3,60,3,D,3956$
1726,360,9,6,4,6,YES,88,94,3,66,5,B,4252$
1727,294,8,4,4,5,NA,,72,4,82,1,C,3965$
1728,324,9,6,5,6,NA,,91,5,67,4,B,4406$
1729,329,5,2,1,3,no,0,110,4,71,5,D,3578$
1730,350,5,2,2,3,NA,,78,3,72,4,D,3156$
1731,318,8,5,4,5,YES,109,77,4,71,1,C,3839$
1732,327,7,6,4,6,YES,117,78,5,80,4,C,4067$
1733,330,8,5,3,5,NA,,107,4,88,4,C,4575$
1734,328,5,8,6,8,no,0,85,8,68,5,B,4429$
1735,327,8,4,3,4,no,0,91,5,70,3,C,3949$
1736,350,8,2,2,4,no,0,105,4,90,3,C,3941$
1737,350,7,8,6,8,YES,78,83,8,70,1,A,4791$
1738,322,9,7,6,7,no,0,103,6,99,3,B,4872$
1739,336,7,8,7,8,NA,,80,6,87,1,A,4927$
1740,304,6,5,6,7,NA,,75,6,65,6,C,3755$
1741,300,7,5,5,7,NA,,71,5,62,3,C,3400$
1742,299,5,5,3,4,YES,76,83,3,85,1,D,3834$
1743,317,5,7,4,6,no,0,108,5,81,3,C,3459$
1744,334,7,4,4,5,NA,,74,6,70,3,C,3697$
1745,294,8,6,6,7,NA,,80,4,60,5,C,4219$
1746,348,6,6,4,6,NA,,87,3,90,6,C,3665$
1747,306,8,8,6,7,yes,95,75,6,95,5,B,5081$
1748,316,5,7,6,7,NA,,75,5,80,2,C,3862$
1749,319,7,5,4,6,no,0,76,7,60,2,C,3764$
1750,353,6,5,5,6,YES,85,103,6,87,2,C,4056$
1751,312,7,7,5,7,YES,110,109,6,71,3,B,4635$
1752,358,8,8,6,7,NA,,96,5,97,6,A,4532$
1753,350,7,4,3,4,NO,0,74,3,69,2,D,3428$
1754,297,9,7,5,7,no,0,95,6,80,5,B,4392$
1755,291,8,4,2,3,YES,91,79,4,99,6,C,4147$
1756,312,9,4,4,5,NA,,91,6,68,2,B,4695$
1757,295,5,6,6,7,YES,72,70,6,91,1,C,3668$
1758,308,6,6,6,7,no,0,87,8,90,4,C,3967$
1759,349,9,4,2,4,NO,0,87,5,95,6,C,4653$
1760,310,7,8,7,8,no,0,94,7,68,5,B,5004$
1761,300,9,5,4,6,yes,78,72,4,79,1,C,3823$
1762,321,9,6,6,8,NA,,87,5,77,4,B,4293$
1763,339,7,5,3,4,NO,0,95,4,65,1,D,3820$
1764,357,5,7,7,8,YES,85,81,7,79,4,B,4705$
1765,325,6,5,3,4,YES,104,77,4,98,2,C,3487$
1766,318,7,5,2,4,NO,0,85,2,60,3,D,3240$
1767,350,7,5,3,5,NO,0,102,5,93,6,C,4079$
1768,301,6,8,6,7,YES,73,105,8,77,6,B,4568$
1769,299,7,4,4,5,yes,99,100,5,67,4,D,3399$
1770,320,5,5,4,5,NO,0,90,2,77,4,D,3794$
1771,306,6,3,4,5,NO,0,82,5,95,3,D,3695$
1772,298,8,8,6,7,NA,,79,5,73,1,B,4820$
1773,330,8,5,6,7,YES,71,74,5,68,3,C,4041$
1774,310,5,5,6,7,NA,,104,7,60,4,C,3952$
1775,353,6,6,7,8,NO,0,99,5,98,5,B,4552$
1776,341,5,5,4,6,NO,0,84,5,82,5,D,3692$
1777,314,6,4,1,3,yes,110,80,2,64,6,D,3777$
1778,320,9,2,2,4,NO,0,72,2,75,1,C,3733$
1779,294,7,4,4,5,NA,,72,4,87,4,D,4027$
1780,293,5,5,3,5,YES,102,73,5,60,1,D,3805$
1781,305,7,7,5,6,no,0,93,5,88,1,C,4179$
1782,346,6,8,5,7,NA,,98,8,62,5,B,4799$
1783,359,6,5,3,5,NA,,73,6,73,2,C,4294$
1784,292,7,6,4,6,no,0,100,6,84,4,C,3778$
1785,336,5,2,1,3,yes,112,81,3,98,5,D,3974$
1786,341,7,7,5,7,NA,,76,5,76,3,B,4053$
1787,345,8,5,3,5,yes,84,82,5,94,2,C,4362$
1788,290,5,5,5,6,no,0,106,6,76,3,D,3373$
1789,351,8,4,1,3,yes,100,78,3,62,2,C,3749$
1790,314,7,7,5,6,YES,108,100,7,85,3,B,4232$
1791,340,6,6,5,7,no,0,103,7,77,1,C,4421$
1792,341,5,4,3,5,NO,0,85,3,72,5,D,3789$
1793,330,5,5,4,6,YES,95,102,6,76,6,C,3588$
1794,346,9,8,5,7,no,0,93,7,87,1,A,4960$
1795,294,9,3,3,4,YES,97,86,2,67,4,C,4279$
1796,331,8,7,5,6,YES,120,110,7,70,6,B,4728$
1797,329,7,6,5,6,no,0,106,6,60,6,C,3736$
1798,302,7,7,6,7,NO,0,101,5,83,6,C,4372$
1799,344,6,5,4,5,NO,0,74,2,99,2,D,4097$
1800,331,6,6,3,5,NA,,107,5,88,6,C,4404$
1801,347,8,4,3,5,YES,108,93,5,81,5,C,4302$
1802,312,7,4,3,4,NO,0,72,3,99,4,D,3477$
1803,320,7,2,2,3,no,0,93,2,97,4,D,3359$
1804,360,8,8,7,8,NA,,96,5,66,1,A,5094$
1805,304,5,6,4,6,yes,94,81,4,86,2,D,3994$
1806,325,7,5,4,6,YES,73,100,6,93,3,C,3744$
1807,326,8,3,2,4,NA,,76,5,97,6,C,4068$
1808,358,9,3,2,4,YES,72,73,2,65,1,C,3765$
1809,312,5,6,5,7,NA,,96,6,70,4,C,4162$
1810,340,6,3,3,4,no,0,78,2,66,6,D,3657$
1811,314,8,2,2,4,YES,118,71,4,95,4,C,3961$
1812,314,6,2,2,3,NO,0,71,2,59,2,E,2846$
1813,294,5,4,1,3,yes,80,100,1,80,3,D,3399$
1814,359,8,3,2,4,no,0,107,2,75,3,C,4244$
1815,325,8,5,4,5,yes,114,93,2,69,6,C,4434$
1816,332,6,3,1,3,no,0,100,3,98,3,D,3501$
1817,325,6,7,6,7,YES,89,104,7,94,6,B,4341$
1818,340,6,2,1,3,no,0,80,4,95,1,D,3218$
1819,353,9,3,1,3,NO,0,96,4,77,3,C,4240$
1820,326,8,3,2,3,NO,0,104,2,83,6,D,3769$
1821,339,9,4,4,5,yes,81,86,4,68,6,C,3939$
1822,327,7,5,2,4,NO,0,93,4,72,6,D,3405$
1823,302,6,3,4,5,NA,,89,4,74,4,D,3589$
1824,331,5,2,2,4,no,0,83,4,91,4,D,3308$
1825,290,7,3,3,4,YES,87,95,2,87,5,D,3589$
1826,307,9,6,4,6,yes,113,98,5,69,1,B,4632$
1827,350,5,8,6,7,yes,104,87,5,90,6,B,4330$
1828,355,9,3,2,3,no,0,97,1,71,4,C,4434$
1829,323,6,5,2,4,NO,0,74,4,66,2,D,3564$
1830,357,9,4,2,4,NO,0,73,4,76,3,C,4458$
1831,290,8,6,4,6,NA,,95,5,83,5,C,4002$
1832,331,7,7,6,7,yes,76,103,8,74,2,B,4934$
1833,343,9,2,1,3,NO,0,99,1,99,5,C,4424$
1834,290,7,4,3,4,no,0,84,3,96,6,D,3196$
1835,331,6,8,7,8,NA,,96,5,79,1,B,4765$
1836,320,9,4,3,5,YES,115,99,6,89,6,B,4528$
1837,299,8,3,3,4,no,0,80,2,77,4,D,3393$
1838,311,5,6,4,6,yes,82,80,5,96,5,C,3798$
1839,297,7,3,3,5,NA,,90,4,68,3,D,3878$
1840,291,6,6,7,8,yes,86,101,7,68,3,C,4093$
1841,304,6,6,5,7,YES,112,96,5,90,3,C,3864$
1842,347,7,6,4,5,NO,0,85,6,86,6,C,3841$
1843,329,6,5,5,6,YES,84,100,5,76,6,C,4261$
1844,344,9,4,5,6,yes,79,108,6,99,2,B,4860$
1845,343,9,6,4,6,YES,119,96,4,85,3,B,4995$
1846,290,8,3,3,4,NO,0,96,2,99,6,D,3317$
1847,335,8,7,7,8,YES,91,84,8,74,6,A,4835$
1848,345,9,5,4,6,NA,,83,6,83,2,B,4986$
1849,357,7,5,3,5,yes,116,99,3,69,6,C,4203$
1850,330,6,6,5,6,NA,,100,5,94,4,C,4355$
1851,341,7,6,5,7,no,0,92,6,82,2,C,3762$
1852,332,8,6,3,5,NO,0,103,4,66,1,C,3579$
1853,323,9,4,4,5,NO,0,88,5,70,2,C,4446$
1854,326,6,7,5,7,NA,,107,4,68,4,C,3664$
1855,354,9,4,3,4,yes,108,75,1,99,5,B,4543$
1856,339,6,4,2,4,no,0,103,5,90,5,D,4097$
1857,331,5,8,5,7,YES,72,73,7,72,5,B,3976$
1858,305,8,6,6,7,YES,108,101,7,95,4,B,4703$
1859,307,5,6,5,7,no,0,98,5,76,5,D,3462$
1860,329,7,6,4,6,no,0,106,6,64,4,C,3934$
1861,340,7,2,1,3,YES,73,105,3,75,3,D,4045$
1862,351,6,5,4,5,yes,106,89,4,95,5,C,3707$
1863,310,6,4,2,3,no,0,70,4,89,3,D,3572$
1864,312,8,7,6,7,no,0,99,5,75,5,B,4450$
1865,338,5,2,2,3,YES,105,74,3,84,1,D,3549$
1866,342,6,6,5,6,YES,90,92,6,69,3,C,3821$
1867,355,6,4,1,3,NO,0,84,1,78,6,D,3647$
1868,305,9,6,7,8,yes,78,80,7,84,3,A,5115$
1869,332,6,5,5,7,YES,99,107,4,89,6,C,4308$
1870,341,9,6,5,7,no,0,83,5,63,3,B,4650$
1871,346,9,5,5,7,NA,,79,7,95,3,A,4472$
1872,322,5,7,5,7,no,0,101,6,69,3,C,4008$
1873,310,8,7,5,7,YES,120,85,7,60,4,B,4262$
1874,328,7,8,6,8,NA,,87,6,64,5,B,4333$
1875,317,7,2,2,3,no,0,103,1,73,2,D,3690$
1876,330,6,7,7,8,no,0,80,6,79,1,C,4513$
1877,349,6,3,4,5,yes,119,92,3,63,4,D,3478$
1878,334,5,7,4,6,YES,115,103,5,61,2,C,3642$
1879,331,5,3,4,5,NO,0,95,3,74,3,D,3621$
1880,354,7,7,7,8,NA,,83,5,81,2,B,4391$
1881,347,9,5,4,5,YES,89,105,5,67,6,B,4074$
1882,314,5,4,3,4,YES,99,79,5,89,6,D,4028$
1883,344,8,6,7,8,NO,0,91,5,65,6,B,4381$
1884,336,8,3,1,3,YES,86,75,3,85,3,C,3699$
1885,306,8,3,2,3,YES,88,102,1,84,2,C,3868$
1886,302,7,3,1,3,NA,,82,4,72,1,D,3387$
1887,312,9,5,3,5,YES,106,107,4,72,4,C,3983$
1888,351,9,2,2,4,yes,99,73,3,64,2,C,3823$
1889,346,7,6,6,7,NA,,98,5,86,6,B,4464$
1890,316,7,4,4,5,yes,118,102,3,76,5,C,4042$
1891,298,8,5,4,6,NO,0,72,5,83,4,C,4059$
1892,313,9,8,5,7,NA,,101,5,76,5,A,4695$
1893,309,7,7,5,6,yes,108,105,4,65,3,C,4213$
1894,356,6,4,5,6,no,0,87,6,61,4,C,4036$
1895,317,6,5,3,4,YES,94,72,3,63,2,D,3187$
1896,328,6,5,5,7,NO,0,98,5,75,1,D,3664$
1897,310,7,4,4,5,no,0,100,4,92,4,D,3424$
1898,307,9,7,4,6,yes,93,82,7,64,5,B,4625$
1899,356,8,3,3,4,no,0,78,4,74,1,C,3872$
1900,336,9,6,6,8,no,0,79,7,63,4,B,4917$
1901,326,8,4,2,3,NA,,105,2,91,5,C,3790$
1902,313,5,8,6,7,yes,114,86,5,65,6,C,4277$
1903,290,6,3,1,3,NA,,73,4,60,4,D,3140$
1904,351,8,5,4,5,YES,106,107,4,91,6,B,4328$
1905,339,6,2,1,3,NA,,72,2,69,2,D,3886$
1906,329,8,5,2,4,yes,98,98,2,98,3,C,3702$
1907,339,5,5,4,5,yes,84,70,4,71,2,D,3700$
1908,318,9,6,5,6,yes,75,80,6,90,6,B,4709$
1909,298,8,7,7,8,YES,100,107,8,75,2,A,5188$
1910,303,6,4,4,6,yes,107,80,4,75,3,D,3563$
1911,335,9,4,2,4,yes,104,70,1,72,4,C,4274$
1912,344,7,6,5,7,NA,,83,4,89,4,C,4026$
1913,312,5,2,2,3,no,0,103,3,92,2,D,3046$
1914,305,5,3,1,3,NO,0,99,2,71,3,E,2846$
1915,338,7,4,4,5,YES,84,102,5,82,2,C,3969$
1916,342,5,8,5,7,no,0,80,6,96,1,C,4314$
1917,338,6,3,3,4,no,0,72,1,60,6,D,3096$
1918,309,7,7,4,6,yes,76,78,4,69,3,C,4160$
1919,299,6,4,1,3,NO,0,89,4,91,4,D,3663$
1920,333,5,3,3,5,NA,,73,2,86,4,D,3774$
1921,294,5,8,5,7,NA,,70,6,71,5,C,4078$
1922,341,5,6,5,6,NA,,82,7,64,2,C,4314$
1923,334,7,7,7,8,YES,97,89,8,59,2,A,4945$
1924,290,9,4,4,6,no,0,74,5,88,1,C,3618$
1925,291,5,8,5,7,no,0,80,6,67,6,C,3680$
1926,293,5,6,6,8,YES,89,87,5,74,3,C,3486$
1927,313,7,6,3,5,YES,107,106,4,85,1,C,4186$
1928,341,5,3,3,4,NA,,98,4,60,3,D,3624$
1929,292,9,4,4,5,YES,78,98,3,79,2,C,4273$
1930,349,5,7,5,7,NA,,96,6,79,4,C,4056$
1931,339,7,4,1,3,NA,,71,4,80,5,C,4224$
1932,341,7,7,6,7,YES,111,85,7,79,3,B,4370$
1933,327,5,7,6,8,YES,111,85,5,78,1,C,4531$
1934,360,9,6,4,5,YES,96,73,5,76,1,B,4894$
1935,318,8,6,4,5,no,0,74,5,85,3,C,4140$
1936,305,9,5,4,6,NO,0,73,6,77,1,C,3886$
1937,348,5,4,4,6,NO,0,83,4,98,3,D,3988$
1938,346,7,5,5,7,NA,,104,5,67,5,C,3829$
1939,324,8,3,2,4,yes,74,92,3,84,5,C,4227$
1940,353,9,5,4,5,no,0,103,3,92,5,B,4163$
1941,327,9,8,7,8,no,0,85,8,82,5,A,5438$
1942,316,8,3,3,5,no,0,82,5,74,4,D,4163$
1943,353,7,6,6,7,YES,99,82,7,66,5,B,4698$
1944,340,8,5,6,7,YES,78,100,5,63,6,B,4602$
1945,332,8,2,2,4,yes,106,100,4,96,1,C,4140$
1946,339,6,6,5,7,NO,0,78,5,86,2,C,3613$
1947,353,8,4,3,5,no,0,106,5,89,6,C,4297$
1948,327,8,6,7,8,yes,84,103,5,69,3,B,4226$
1949,354,8,7,6,8,YES,107,77,6,61,6,B,4668$
1950,327,8,5,4,6,no,0,90,5,98,3,C,3797$
1951,325,9,4,4,5,NO,0,99,4,83,3,C,3933$
1952,294,8,6,4,6,yes,80,102,4,78,1,C,3816$
1953,297,9,7,6,7,yes,94,100,7,82,6,A,4521$
1954,291,5,2,1,3,NA,,87,2,73,2,D,3544$
1955,347,9,2,2,3,NO,0,91,1,89,2,C,4182$
1956,308,7,3,3,4,NO,0,95,3,59,5,D,3333$
1957,292,8,4,3,5,NA,,110,5,80,1,C,4365$
1958,316,5,8,7,8,YES,82,89,5,92,6,B,4854$
1959,332,9,4,3,4,yes,91,95,3,70,3,C,4081$
1960,308,5,6,7,8,yes,107,94,5,88,6,C,4381$
1961,304,6,7,5,7,yes,81,71,7,85,6,C,4405$
1962,291,9,4,2,4,yes,76,87,4,88,2,C,4342$
1963,353,6,5,3,5,no,0,79,4,65,1,D,3469$
1964,337,7,7,6,8,NA,,79,7,62,4,B,4614$
1965,303,8,6,5,6,no,0,70,5,99,5,C,4411$
1966,308,5,6,5,6,NO,0,89,4,83,6,D,4001$
1967,326,5,6,5,6,NA,,91,6,68,5,C,3801$
1968,342,7,6,5,6,yes,112,87,5,83,1,C,4253$
1969,305,5,6,5,6,no,0,84,7,95,1,C,3642$
1970,293,8,3,3,5,no,0,72,3,99,4,D,3526$
1971,294,7,4,5,6,yes,103,100,5,96,3,C,3962$
1972,325,8,6,4,6,NO,0,108,3,91,3,C,4294$
1973,341,9,6,6,8,yes,112,96,7,63,1,A,4722$
1974,317,6,6,5,6,NO,0,70,4,76,2,D,3595$
1975,309,7,4,3,5,NO,0,95,3,82,6,D,3541$
1976,315,8,4,4,5,NO,0,95,4,59,6,D,3398$
1977,320,7,4,4,6,no,0,97,5,74,4,D,3651$
1978,338,9,5,4,6,no,0,102,4,67,4,C,4359$
1979,316,6,6,5,7,no,0,103,6,78,1,C,3960$
1980,339,6,8,5,7,NO,0,74,7,94,5,B,4097$
1981,328,7,8,5,7,yes,73,75,7,99,1,B,4796$
1982,356,8,6,4,6,yes,109,98,5,81,1,B,4064$
1983,305,6,5,5,7,NA,,103,5,77,4,C,3535$
1984,332,5,5,3,4,YES,95,82,2,87,5,D,3351$
1985,339,5,6,6,7,yes,96,106,8,69,5,B,4345$
1986,312,7,5,4,5,NA,,79,5,70,6,C,3627$
1987,333,8,5,6,7,NO,0,79,5,91,6,C,4507$
1988,332,9,6,6,8,NA,,84,6,90,2,A,4582$
1989,321,7,6,7,8,YES,111,107,7,83,2,B,5066$
1990,331,5,5,6,7,YES,120,71,5,84,1,C,4370$
1991,343,6,4,2,4,YES,101,75,3,66,3,D,3647$
1992,294,9,8,6,8,yes,71,83,7,69,5,A,4997$
1993,343,9,3,3,4,no,0,70,4,71,3,C,4170$
1994,331,7,7,6,8,NA,,89,5,64,6,B,4562$
1995,294,7,3,2,3,NO,0,77,2,84,4,D,3184$
1996,298,5,6,5,7,NO,0,91,7,71,3,C,3836$
1997,356,9,4,3,4,YES,106,79,4,84,5,B,4189$
1998,326,8,6,3,5,yes,71,83,4,74,2,C,4408$
1999,337,7,6,4,6,no,0,106,6,91,6,C,4021$
2000,298,8,2,1,3,NO,0,93,4,90,2,D,3281$
2001,298,6,6,5,6,yes,89,80,4,76,1,D,3352$
2002,331,9,4,5,6,NA,,86,4,78,1,B,4553$
2003,319,9,8,5,7,NA,,101,8,61,5,A,5595$
2004,313,5,3,2,4,YES,84,76,4,61,5,D,3401$
2005,322,5,7,4,6,no,0,90,6,95,6,C,3777$
2006,299,9,5,5,6,NO,0,81,6,77,2,C,4273$
2007,334,8,7,5,7,yes,109,92,6,67,2,B,4547$
2008,309,5,6,5,7,yes,75,73,6,74,5,C,3505$
2009,332,6,7,7,8,no,0,81,7,66,6,B,4193$
2010,337,7,8,7,8,no,0,109,8,83,3,A,4642$
2011,347,5,6,3,5,yes,89,109,4,98,6,C,4214$
2012,354,7,3,3,5,NA,,100,2,94,1,C,3942$
2013,302,8,2,1,3,yes,74,110,1,75,1,D,3675$
2014,306,7,5,5,6,YES,117,109,5,90,1,C,4103$
2015,332,8,5,5,6,NO,0,90,7,83,4,B,4617$
2016,300,7,3,2,4,NO,0,72,3,77,1,D,3600$
2017,326,9,6,6,7,NA,,98,4,65,3,B,4364$
2018,354,9,6,3,5,YES,117,107,4,60,3,B,4390$
2019,325,8,2,3,4,YES,78,78,4,92,3,C,3815$
2020,342,8,4,1,3,NA,,95,2,61,2,C,4089$
2021,323,9,5,5,6,YES,113,83,5,61,6,B,4447$
2022,313,6,4,1,3,no,0,78,2,59,4,D,3463$
2023,339,9,8,6,8,NA,,94,5,65,2,A,4822$
2024,347,8,5,5,7,no,0,110,7,64,3,B,4077$
2025,348,5,6,5,6,no,0,79,4,80,2,D,4028$
2026,339,8,3,1,3,no,0,73,1,59,4,D,3494$
2027,326,5,5,3,5,YES,106,80,6,70,2,D,3371$
2028,339,7,5,6,7,no,0,99,4,67,3,C,4282$
2029,350,6,4,3,5,YES,80,109,3,96,3,C,3791$
2030,302,5,2,2,4,no,0,80,1,78,3,E,3274$
2031,323,9,5,3,5,yes,91,101,5,74,3,B,4206$
2032,356,5,4,3,4,yes,105,94,4,92,4,C,4087$
2033,341,9,5,4,6,NA,,109,4,59,5,B,3959$
2034,297,5,2,2,3,yes,93,97,4,87,6,D,3386$
2035,332,9,5,5,7,YES,73,94,6,84,1,B,4290$
2036,301,8,3,1,3,NA,,71,2,94,1,D,3489$
2037,333,6,3,3,4,NO,0,107,5,66,4,D,3597$
2038,324,6,2,3,4,NA,,94,3,79,2,D,3615$
2039,342,7,7,6,7,NA,,91,6,88,1,B,4335$
2040,357,5,7,5,6,yes,115,93,5,84,3,C,4209$
2041,300,7,3,3,4,yes,105,78,4,59,3,D,3848$
2042,337,8,5,4,5,yes,91,110,5,62,6,C,4138$
2043,339,9,3,2,4,NO,0,89,5,68,3,C,4387$
2044,296,5,7,6,7,yes,75,85,5,65,4,C,3520$
2045,304,6,7,6,8,no,0,108,6,80,3,C,4215$
2046,294,8,2,1,3,NA,,80,4,81,3,D,4122$
